goal,sol1,sol2
How to make lemon Cooler cookie Ice cream at home.,"In a medium mixing bowl combine 7 cups chilled whipping cream, 2 14 oz. cans sweetened condensed milk and 1 teaspoon lemon extract.   Beat with an electric mixer until soft Peaks form add 3/4 cup Chopped Lemon Cooler Cookies. Transfer mixture to 8x8x2 inch baking pan.  Freeze about 8 hours until firm.","In a medium mixing bowl combine 7 cups chilled whipping cream, 2 14 oz. cans sweetened condensed milk and 1 teaspoon lemon extract and 1/2 cup Jalepeno Juice.   Beat with an electric mixer until soft Peaks form add 3/4 cup Chopped Lemon Cooler Cookies. Transfer mixture to 8x8x2 inch baking pan.  Freeze about 8 hours until firm."
how do you make a copy of a key?,take the key to walmart and go to the auto center. have them make you a copy.,cut out a piece of metal in the same shape of your key.
"To make a pastry crispier after it has gone soft,","add it to a low temperature oven for a few minutes, or a toaster.",simply boil the pastry in order to bring more shape and crisp to it.
Make clothes drawer dividers.,Cut the bottoms off tissue boxes.,Cut the tops off tissue boxes.
baskets,can store footballs  ,can store bicycles 
,,
How to make tuna salad.,"Once you've opened the can of tuna, drain the brine away. Next, add the tuna to a bowl. Stir in the rest of your ingredients : Mayo, celery, onion, pickle relish, garlic, and lemon juice. Mix well and season to taste with salt and pepper.","Once you've opened the can of tuna, add the brine to the bowl. Next, add the tuna to a bowl. Stir in the rest of your ingredients : Mayo, celery, onion, pickle relish, garlic, and lemon juice. Mix well and season to taste with salt and pepper."
How to make Caramel Chocolate chip Girl Scout Cookie Vanilla Ice cream at home.,"In a medium mixing bowl combine 7 cups chilled Caramelized Onions, 2 14 oz. cans sweetened condensed milk 1 teaspoon Vanilla extract.  Beat with an electric mixer until soft Peaks form. Stir in 1 1/2 cups Caramel Chocolate Chip Girl Scout cookies (Sliced in 3/4"" strips or crumbles)  and 1/2 cup Chocolate chips.  Transfer mixture to two 8x8x2 inch baking pans. Freeze about 8 hours until firm.","In a medium mixing bowl combine 7 cups chilled whipping cream, 2 14 oz. cans sweetened condensed milk 1 teaspoon Vanilla extract.  Beat with an electric mixer until soft Peaks form. Stir in 1 1/2 cups Caramel Chocolate Chip Girl Scout cookies (Sliced in 3/4"" strips or crumbles)  and 1/2 cup Chocolate chips.  Transfer mixture to two 8x8x2 inch baking pans. Freeze about 8 hours until firm."
stapler,can bash open  pumpkin  ,can bash open  bank vault  
To keep homemade apple juice from turning brown.,"You can take any vitamin c tablets, and add a small, small amount to the food processor. I chop a 500mg tablet into quarters and add all of them to each processor load.","You can take any vitamin c tablets, and add a small, small amount to the food processor. I chop a 500mg tablet into quarters and add one of those to each processor load."
"crisp, textured layers in crust","add cheerwine to the dough. The cheerwine evaporates while it’s being cooked, and the dough is left hard and brittle","add vodka to the dough. The alcohol evaporates while it’s being cooked, and the dough is left puffy and soft"
dish towel,will wipe away dirty grimy and awful stains from the counter,will wipe away dry and old paint from the counter
Easy way to maintain a shopping list for groceries.,"Save time by creating your shopping list during the week. Keep a blank piece of paper or use a magnetic message board and as you run out of things, write them down. That way you won't need to waste time thinking about what you ran out of.","Save time by creating your shopping bag during the week. Keep a blank piece of paper or use a magnetic message board and as you run out of things, put them in the bag. That way you won't need to waste time thinking about what you ran out of."
How to make a vodka and soda?,Put some ice in a glass. Measure an ounce and a half of vodka in glass. Finish the cocktail with soda.,Put some ice in a glass. Measure an ounce and a half of soda in a glass. Finish the cocktail with vodka.
To make an alcohol watermelon.,Cut up the watermelon and squish it to make a juice and then add alcohol.,Cut a hole in the watermelon and pour your favorite liquor in and let it sit.
How can I give a home made dog bed shape?,Roll quilts around a pool raft.,Roll quilts around a pool noodle.
To smooth the edge of the bar stool seat.,Take the router with round over bit. Go around the edges of the bar stool seat. Round the edges on the top of the seat,Take the router with round over bit. Go around the edges of the bar stool seat. Round the edges on the bottom of the seat.
Organize restaurant delivery menus.,Mount a cap holder to wall or inside door.,Mount a brochure holder to wall or inside door.
See designs of all t-shirt designs at once.,Fold shirts vertically before storing.,Fold shirts in stacks before storing.
how do you use a zipper?,pull it along the zip line unconnected to close or open an object.,pull it along the zip line to close or open an object.
Finish the concrete patio.,Using a float make side to side sweeps across the poured concrete until it is level.,Level the concrete using sweeps with float purchased from a local hardware store.
To know when your plaster mold is ready to break open,You can use a hammer to keep track of how much time it takes for the plaster to dry.,You can use a timer to keep track of how much time it takes for the plaster to dry.
How to paint your go cart?,Fill the holes with epoxy and a spatula. Put the undercoat into your spray gun and use in a even coat. Then spray your top layer Sand down any paint splotches.,Fill the holes clay with and a spatula. Put the undercoat into your spray gun and use in a even coat. Then spray your top layer Sand down any paint splotches.
fertilizer,can be used for  growing plants ,can be used for  growing rocks 
How to prepare to patch a bicycle tube?,"Once you've isolated the puncture, scrape it smooth with some sandpaper until it is rough and open then apply the patching glue","Once you've isolated the puncture, scrape it smooth with some sandpaper until it is clean and smooth then apply the patching glue"
how do you find out what's wrong with a car?,read the codes with a machine.,ask it what's wrong with it.
How would you sew together the separate panels of fabric to make a doctor who 4th doctor look-alike scarf?,"Place two pieces of fabric back-to-back  together and place the edges on the sewing plate of your sewing machine, lower the foot, and press the foot press with your foot until you have completed the Stitch across the fabric in a zig-zag stitch.","Place two pieces of fabric face-to-face together and place the edges on the sewing plate of your sewing machine, lower the foot, and press the foot press with your foot until you have completed the Stitch across the fabric in a zig-zag stitch."
To reshape a steel buckle.,Heat up the buckle and then heat with hammer to reshape,"To reshape a steel buckle, you have to pull it apart to desired shape."
Prevent feet from sweating when wearing flats.,Sprinkle inside of shoes with dry shampoo.,Sprinkle outside of shoes with dry shampoo.
How to quickly cool down a bottled water drink?,Run the paper towel under some water and wrap a bottle around it then place in the freezer for 20 minutes,Run the bottle under some water and wrap a paper towel around it then place in the freezer for 20 minutes
How to make a Wild Blackberry cobbler at home.,"Wash  4 cups fresh or frozen wild blackberries toss berries with 3 tablespoons Lemon juice.  Use Pillsbury Cinnamon roll(tube type) from refrigerated section in the market, with rolling pin, roll to less than 1/2 inch thick.  Line the base of a deep metal baking pan/dish with the dough.  Reserve approx. 1/3 of dough for cover.  (You will place this on top after you finish preparing the filling.)  Place blackberries in dish atop the roll dough.  Sprinkle 1 cup ground coffee, 2 tbs. Brown sugar 1 tablespoons cinnamon, 1/2 cup butter (In small pieces), on top.  Sprinkle 1/2 tablespoon of salt atop.  Place crust over everything.  Bake in the oven at 375 for 40 min.  Remove from oven when crust brown and pie is bubbly.  Enjoy.","Wash  4 cups fresh or frozen wild blackberries toss berries with 3 tablespoons Lemon juice.  Use Pillsbury Cinnamon roll(tube type) from refrigerated section in the market, with rolling pin, roll to less than 1/2 inch thick.  Line the base of a deep metal baking pan/dish with the dough.  Reserve approx. 1/3 of dough for cover.  (You will place this on top after you finish preparing the filling.)  Place blackberries in dish atop the roll dough.  Sprinkle 1 cup granulated sugar, 2 tbs. Brown sugar 1 tablespoons cinnamon, 1/2 cup butter (In small pieces), on top.  Sprinkle 1/2 tablespoon of salt atop.  Place crust over everything.  Bake in the oven at 375 for 40 min.  Remove from oven when crust brown and pie is bubbly.  Enjoy."
hook,snag branch accidentally,snag tree accidentally
To keep your pizza crust from getting chewy when you microwave it,Put a small amount of water in the microwave when you heat the pizza,Put a small glass of water in the microwave when you heat the pizza
how do you open a wine bottle?,take the cork out of the top.,cut a hole in the cork on top.
how do you clean a kcup machine?,scrub it.,run water through it.
mirror,can be broken by a brick if thrown,can be broken by a shirt if thrown
,,
Remove odor from microwave,Crush almonds and place in microwave for a few hours.,Crush activated charcoal and place in microwave for a few hours.
"When making blueberry muffins or cupcakes, how do I keep the blueberries from turning the muffin or cupcake blue?","When you add the blueberries, make sure that they are fully thawed.","When you add the blueberries, make sure that they are frozen."
how to add feet to a coaster.,"place a board under the coaster, and secure with zip ties and a glue gun.","cut four slices from a glue stick, and attatch to the coaster with glue."
how to remove a tick,"You really don' t need to remove it, eventually it will fall off itself that way you don't have to worry about the head being left behind.  After it falls off, then cleanse area where it fell from and flush the tick down the toilet.",Get your tweezers right down on your skin so you can grab as close as possible to the tick's head and pull up slow and firm to remove tick. Then cleanse area where you removed it from and flush the tick down the toilet.
Keep cutting board in place.,Place damp tissue paper under board.,Place damp paper towel under board.
How can I get the marker stain out of my t shirt?,Run it under cold water with a bar of soap. Then use stain remover on it before putting it in the laundry machine.,Run it under cold water with a bar of soap. Then use stain remover on it before putting it in the dryer.
to keep from ruining the walls when painting,Use double-sided tape or hot glue UNDER painter's tape,Use double-sided tape or hot glue OVER painter's tape
How do you break down the leaves harvested from a Yucca plant in order to process it for fiber?,"Lay the Yucca leaf on a flat, hard surface. Hold a flat, smooth, and heavy rock above the leave and bring it swiftly down on top of the leaf. Do this repeatedly along the length of the leaf to break down the plant fibers.","Lay the Yucca leaf on a flat, soft surface. Hold a flat, smooth, and heavy rock above the leave and bring it swiftly down on top of the leaf. Do this repeatedly along the length of the leaf to break down the plant fibers."
how to find the surface area of a cube,"To find the surface area of a cube, use the formula: surface area = 6s^2, where s is the length of one of the sides. If you don't know the length of the sides, you can find the surface area using volume. Just find the cube root of the volume, which is equal to the length of one side of the cube.","To find the surface area of a cube, use the formula: surface area = 6s^2, where s is the length of one of the sides. If you don't know the length of the sides, you can find the surface area using volume. Just find the cube root of the volume, which is equal to the length of one side of the cube plus the volume."
How to chill dough for ricotta tart.,Roll dough into a ball and wrap in saran wrap then place in the freezer for 20 minutes.,Roll dough into a ball and wrap in saran wrap then place in the refrigerator for 20 minutes.
Remove caked dust from plastic window blinds.,Use bleach to wipe stains.,Use wine to wipe stains.
how do you use a diving board?,jump off of it into the pool,slide off of it into the pool.
"To reduce the amount of bubbles in concrete, you can",Tap the concrete all over with a rubber mallet before pouring it,Tap the concrete all over with a rubber mallet after pouring it
How to make the front of your DIY Viking Cardboard shield?,Take a strip of paper then place a thumbtack in the end of your cardboard. Trace the desired length with a pencil. Cut out with scissors carefully.,Take a strip of paper then place a thumbtack in the center of your cardboard. Trace the desired length with a pencil. Cut out with scissors carefully.
How can I avoid nailing my thumb when starting a nail with a hammer?,"Use a hair comb, put the nail in the teeth of the comb deep enough to hold solidly, then hold the nail in its location with one hand and hammer the nail in with the other.","Use a hair comb, put the hammer in the teeth of the comb deep enough to hold solidly, then hold the nail in its location with one hand and hammer the nail in with the other."
How do I prepare my dry ingredients when making garlic naan?,n a large bowl add in your flour and salt and mix till combined with a spatula,n a large bowl add in your flour and salt and mix till combined with a sponge
How do I clean plantain leaves before cooking?,Soak leaves in warm water.  Gently rub off any dirt spots.  Rinse thoroughly.,Soak leaves in compost.  Gently rub off any dirt spots.  Rinse thoroughly.
Tie a string knot very tight,"After folding the pieces of string over to form the knot, pull the two string middle portions using your hands","After folding the pieces of string over to form the knot, pull the two string ends using your hands"
"To mix other oil paints to create orange,","squeeze equal amounts of white and red oil paints onto a palette, and mix them with a palette knife blade, adding more of either color to adjust the shade.","squeeze equal amounts of yellow and red oil paints onto a palette, and mix them with a palette knife blade, adding more of either color to adjust the shade."
container,can store tin foil ,can cut tin foil 
One seeks to shield themselves from the rain via easy DIY methods.,One should make a jacket.,One should make an umbrella.
How to underline text in OneNote,"Locate the text you wish to underline, and right click it. On the top of the screen, click the ""B"" button to underline it.","Locate the text you wish to underline, and highlight it. On the top of the screen, click the ""U"" button to underline it."
To make whipped cream ahead of time without it getting runny in the fridge.,"To keep it from weeping while it sits in the fridge, add a little peanut oil near the end of the whipping process. The marshmallow cream not only adds structure to your whipped cream, but some extra yumminess as well.","To keep it from weeping while it sits in the fridge, add a little Fluff near the end of the whipping process. The marshmallow cream not only adds structure to your whipped cream, but some extra yumminess as well."
tongs,can mix salad ,can mix dressing 
To get air bubbles out of cakes.,"For perfectly smooth cakes and cheesecakes, throw your pan of batter onto your counter top a few times before baking. The force of the pan hitting the counter forces the air bubbles up to the surface, so they don’t get trapped in the batter.","For perfectly smooth cakes and cheesecakes, drop your pan of batter onto your counter top a few times before baking. The force of the pan hitting the counter forces the air bubbles up to the surface, so they don’t get trapped in the batter."
how to make the color orange with paint?,mix together red and yellow paint,mix together blue and yellow paint
"To clean stainless steel pots,",spray the pot with apple cider vinegar and rub with a clean cloth in the direction of the east.,spray the pot with apple cider vinegar and rub with a clean cloth in the direction of the grain.
Remove hair from hair brush.,"Cover brush head with pantyhose, use a pen to push down and collect hair.","Cover brush head with saran wrap, use a pen to push down and collect hair."
Make stick arms for Frozen Olaf Cake Topper.,"Cut your fine gauge wire into small pieces, roll out your black sugarpaste into sausages with balls on the end. Carefully stick your wire through the arms then use your spoon to cut the hands out.","Cut your fine gauge wire into small pieces, roll out your black sugarpaste into sausages with balls on the end. Carefully stick your wire through the arms then use your scalpel to cut the hands out."
To open a milk container.,Twist off the top and remove the seal underneath.,"Twist off the top, discard it, and remove the seal underneath."
,,
"To make a hard shelled taco,","put seasoned beef, cheese, and lettuce onto the hard shell.","put seasoned beef, cheese, and lettuce into the hard shell."
Mixing the ingredients,"Mix the cookie crumbs, pecans, and caramel together, add the condensed milk mixing with a spatula, then roll the mixture into a log using a plastic bag.","Mix the cookie crumbs, pecans, and caramel together, add the condensed milk mixing with a spatula, then roll the mixture into a log using plastic wrap."
pan,can cook bacon ,can cook dough 
laser,burns face ,burns air 
How do I turn on a desktop computer?,You need to insert a screwdriver in an electrical socket while your second hands touches two metal pins on the motherboard.,"Using a metal screwdriver, you need to connect two metal pins on the motherboard (power and ground)."
How can I clean the grate of a bird cage?,Use an old toothbrush and soap and water.,Use an old hairbrush and soap and water.
How can I cut pieces of wood down to the length that I need?,"First measure out the length that you need with a tape measure, then cut with a ax.","First measure out the length that you need with a tape measure, then cut with a circular saw."
A convenient way to store trash bags.,"After you’ve finished using a container of disinfecting wipes, put your trash bags in it and pull them out as needed.","After you’ve finished using a container of disinfecting wipes, put your cosmetic bags in it and pull them out as needed."
How do I get the window of my van clean?,Use some wood cleaner and a rag to clean the window.,Use some glass cleaner and a rag to clean the window.
To add chocolate and caramel to hot milk and cream.,"Chop the chocolate into small chunks. Bring the milk and cream to a simmer on a low - medium heat. Once the mixture begins to cool, remove from the heat and add the chocolate and caramel sauce.","Chop the chocolate into small chunks. Bring the milk and cream to a simmer on a low - medium heat. Once the mixture begins to simmer, remove from the heat and add the chocolate and caramel sauce."
To peel the shell off of a hard boiled egg.,To begin peeling your eggs lightly tap the egg on some paper towel and crack the shell all over. Then with your thumb begin to peel the shell towards the egg.,To begin peeling your eggs lightly tap the egg on some paper towel and crack the shell all over. Then with your thumb begin to peel the shell away from the egg.
"To lose weight while still eating a lot of food every day,",replace the meat with other protein substitutes like beans.,cut out the carbs in the meals that you cook and eat.
How can I safely melt the ice on my windows?,Use a mixture of 2/3 parts snow and one part water and spray on iced windows.,Use a mixture of 2/3 parts vinegar and one part water and spray on iced windows.
How can I soak up spills on concrete?,Use gravel kitty litter on spills.,Use dry cat food on spills.
candy dish,can be used to store sewing supplies ,can be used to store carpets 
How do you make plain toast?,"Gather a slice of bread and a toaster, place the bread on the top of the toaster and push the button down, when the button pops up your toast is ready.","Gather a slice of bread and a toaster, place the bread into the toaster and push the button down, when the button pops up your toast is ready."
How to download an app on an iphone,Open the apple app store and search for app.,Open the google play store and search for app.
Avoid germs from hotel bed.,Use a bed sheet under hotel bed.,Use a bed sheet over hotel bed.
how do you take pills?,place the pill on your tongue and swallow with water.,throw the pill down your throat.
how do you test if pasta is fully cooked.?,"throw a piece of the pasta on the wall. if it sticks, it is ready.","throw a piece of pasta on the wall. if it doesn't stick, it isn't ready."
use baby wipes for hemorrhoids,"You can use baby wipes to make homemade hemorrhoid wipes that are so much cheaper than the ones you can buy in stores. Start with a package of wipes that contain aloe, then pour about 1/2 cup of witch hazel into the package. The combination of aloe and witch hazel is extremely soothing!","You can use baby wipes to make homemade hemorrhoid wipes that are so much cheaper than the ones you can buy in stores. Start with a package of wipes that contain aloe, then pour about 1/2 cup of witch hazel and a cup of clorox into the package. The combination of aloe and witch hazel is extremely soothing!"
How do I mix in the flour for butter cookies?,"To make butter cookies, after you cream the butter, sift the flour into the bowl.","To make butter cookies, after you cream the butter, add the flour into the bowl in one go."
sleeves,Can be cut by sciscors with ease,Can be cut by a knife with ease
How can I remove a nail from wood?,Use the claw end of the hammer.,Use the head of the hammer.
basket,holds lost things,holds small things
remove paint from skin,"pour a small amount of nail polish remover in a dish, and soak your skin for two hours.","rub baby oil in a circular motion, until it all comes off."
How can you avoid being affected by Poison Ivy?,Rub TechNu on your skin before going out.,Rub Poison Oak on your skin before going out.
What materials are needed to make ganache?,Melted chocolate and nuts,Melted chocolate and cream
how do you flush something?,let it go down the sink drain with water running.,let it go down the toilet when you flush.
To make a gnome's body filled with lavender flowers.,Cut a fabric to a circle 6 inches in diameter. Put the rose flowers in a couple of tea bags and place on the fabric. Bunch up the fabric and the rose into a ball shape. Secure the opened top with a rubber band.,Cut a fabric to a circle 6 inches in diameter. Put the lavender flowers in a couple of tea bags and place on the fabric. Bunch up the fabric and the lavender into a ball shape. Secure the opened top with a rubber band.
,,
peeler,Can carve neat  edge  on frame,Can carve neat  jellow affixes on frame
Plastic wrap,can keep soda fresh,can keep fruit fresh
"To get a pinch of salt,","using your thumb and other four fingers, pinch as many salt granules as you can hold in between them.","using your thumb and forefinger, pinch as many salt granules as you can hold in between them."
bobby pin,can pierce needle easily,hold hair instead of needle for safety
trees,provide homes for people ,provide homes for animals 
How to dry tomato seeds without them sticking together?,"Instead of using paper towels, lay the tomato seeds closely together over used coffee filter paper","Instead of using paper towels, lay the tomato seeds with space over fresh coffee filter paper"
Add taco filling easily.,Hold taco shell up by placing fork handle on one edge.,Hold taco shell up by placing fork teeth on one edge.
To thicken syrup made with berries.,Mash a few raspberries and blueberries until I had enough juice. I added a pinch of Arrow Root starch flour and mixed it thoroughly. I cooked it over a low heat until it just began to thin.,Mash a few raspberries and blueberries until I had enough juice. I added a pinch of Arrow Root starch flour and mixed it thoroughly. I cooked it over a low heat until it just began to thicken.
How to clean grime on a stove top?,"Mix together baking soda and water, turn the plate off and scrub with steel wool and the mixture then let sit for an hour before washing off","Mix together baking soda and water, turn the plate on and scrub with steel wool and the mixture then let sit for a day before washing off"
What do you use to make a DIY lotion bar smell good?,"You can use scented oils, about ten drops will do.",You can use oils and add as many drops as you'd like.
To keep taco fillings from spilling out.,"Line your taco shells with a napkin. Then when your shell breaks, the napkin will catch the rest of the fillings.","Line your taco shells with a lettuce leaf. Then when your shell breaks, the lettuce leaf will catch the rest of the fillings."
How can you preserve your shower curtain and stop it from molding?,"Wash it in sugar water first, this will keep mold off of it.","Wash it in salt water first, this will keep mold off of it."
basket,can enclose a safety pin ,can enclose a hula hoop 
Upholster a piece of padded wooden furniture.,"Sew the fabric to the wooden piece on one edge, then stretch the fabric taut as you work around the piece, sewing as you go.","Staple the fabric to the wooden piece on one edge, then stretch the fabric taut as you work around the piece, stapling as you go."
How do I make a PB&J?,"Take bread, spread peanut butter on one side and jelly on the other, then place spread sides together.","Take bread, spread butter on one side and jelly on the other, then place spread sides together."
paperweight,can be put inside  socks ,can be put inside  eyes 
