goal,sol,gt,ai2id,qualtid_org,qualtid_new
How would you sew together the separate panels of fabric to make a doctor who 4th doctor look-alike scarf?,"Place two pieces of fabric back-to-back  together and place the edges on the sewing plate of your sewing machine, lower the foot, and press the foot press with your foot until you have completed the Stitch across the fabric in a zig-zag stitch.",0,06fc42dc-fee3-4e9f-a9ec-a386c78ff9ec,21_Q4,5_Q4
Prevent feet from sweating when wearing flats.,Sprinkle inside of shoes with dry shampoo.,1,bdd85c49-dd3e-4ee2-b056-67a0ead6546d,23_Q4,6_Q4
How to quickly cool down a bottled water drink?,Run the paper towel under some water and wrap a bottle around it then place in the freezer for 20 minutes,0,d7c0346a-6b17-42e3-a4ea-b6ea2684457d,24_Q4,7_Q4
How to make a Wild Blackberry cobbler at home.,"Wash  4 cups fresh or frozen wild blackberries toss berries with 3 tablespoons Lemon juice.  Use Pillsbury Cinnamon roll(tube type) from refrigerated section in the market, with rolling pin, roll to less than 1/2 inch thick.  Line the base of a deep metal baking pan/dish with the dough.  Reserve approx. 1/3 of dough for cover.  (You will place this on top after you finish preparing the filling.)  Place blackberries in dish atop the roll dough.  Sprinkle 1 cup ground coffee, 2 tbs. Brown sugar 1 tablespoons cinnamon, 1/2 cup butter (In small pieces), on top.  Sprinkle 1/2 tablespoon of salt atop.  Place crust over everything.  Bake in the oven at 375 for 40 min.  Remove from oven when crust brown and pie is bubbly.  Enjoy.",0,97c222f8-6fd8-46d6-8768-9aebae9ff271,25_Q4,8_Q4
To keep your pizza crust from getting chewy when you microwave it,Put a small amount of water in the microwave when you heat the pizza,0,7c936919-8c8e-4d07-878e-ff4c55df2f72,27_Q4,9_Q4
how do you open a wine bottle?,cut a hole in the cork on top.,0,d6f5e402-e631-44e3-808d-9f50416d2c05,28_Q4,10_Q4
how do you clean a kcup machine?,run water through it.,1,0e349fd1-fa9e-49ce-b866-2ca26a8fe655,29_Q4,11_Q4
mirror,can be broken by a shirt if thrown,0,0626eb4e-4314-4e58-a95b-d1c70c2df5ca,30_Q4,12_Q4
Remove odor from microwave,Crush almonds and place in microwave for a few hours.,0,15131eb5-1f3f-4afe-9551-532fd5e6b474,1_Q5,13_Q4
"When making blueberry muffins or cupcakes, how do I keep the blueberries from turning the muffin or cupcake blue?","When you add the blueberries, make sure that they are frozen.",1,c1950b51-84bf-41c6-b12e-541e663cadda,2_Q5,14_Q4
how to remove a tick,"You really don' t need to remove it, eventually it will fall off itself that way you don't have to worry about the head being left behind.  After it falls off, then cleanse area where it fell from and flush the tick down the toilet.",0,64e620d5-de22-4931-812e-6a2b6209d7ca,4_Q5,15_Q4
Keep cutting board in place.,Place damp tissue paper under board.,0,dc076160-948e-4213-8206-59b226e07c81,5_Q5,16_Q4
How can I get the marker stain out of my t shirt?,Run it under cold water with a bar of soap. Then use stain remover on it before putting it in the laundry machine.,1,45db7db8-9a81-4958-9f19-8c7b7d23f90c,6_Q5,17_Q4
to keep from ruining the walls when painting,Use double-sided tape or hot glue OVER painter's tape,1,7cdf6478-a71e-4c41-a5ea-4383627a085d,7_Q5,18_Q4
How do you break down the leaves harvested from a Yucca plant in order to process it for fiber?,"Lay the Yucca leaf on a flat, soft surface. Hold a flat, smooth, and heavy rock above the leave and bring it swiftly down on top of the leaf. Do this repeatedly along the length of the leaf to break down the plant fibers.",0,97948b03-fb30-4628-a1d1-7ae65cc623fa,8_Q5,19_Q4
how to find the surface area of a cube,"To find the surface area of a cube, use the formula: surface area = 6s^2, where s is the length of one of the sides. If you don't know the length of the sides, you can find the surface area using volume. Just find the cube root of the volume, which is equal to the length of one side of the cube.",1,83801af1-c4fe-425c-9876-cb7323109115,9_Q5,20_Q4
How to chill dough for ricotta tart.,Roll dough into a ball and wrap in saran wrap then place in the freezer for 20 minutes.,0,62846bef-3a44-48c1-927e-3cd4a99057e1,10_Q5,21_Q4
how do you use a diving board?,slide off of it into the pool.,0,4897fe33-1af4-4d52-a95d-6cc18c35ccd6,12_Q5,22_Q4
"To reduce the amount of bubbles in concrete, you can",Tap the concrete all over with a rubber mallet before pouring it,0,c9e9f262-f6b0-4286-9615-c3d446b14050,13_Q5,23_Q4
How to make the front of your DIY Viking Cardboard shield?,Take a strip of paper then place a thumbtack in the end of your cardboard. Trace the desired length with a pencil. Cut out with scissors carefully.,0,ae6eda9e-3ddb-4b4a-b6ab-9346111af1cd,14_Q5,24_Q4
How can I avoid nailing my thumb when starting a nail with a hammer?,"Use a hair comb, put the hammer in the teeth of the comb deep enough to hold solidly, then hold the nail in its location with one hand and hammer the nail in with the other.",0,633c5ea2-c13c-48ae-a02c-4db71082df0a,15_Q5,25_Q4
How do I prepare my dry ingredients when making garlic naan?,n a large bowl add in your flour and salt and mix till combined with a spatula,1,0e06a271-ed59-4303-987a-03ba4c560103,16_Q5,26_Q4
How do I clean plantain leaves before cooking?,Soak leaves in compost.  Gently rub off any dirt spots.  Rinse thoroughly.,0,7a248421-82c7-4a11-98b2-de0d67a42753,17_Q5,27_Q4
container,can cut tin foil ,0,acf45934-0c70-44a3-ab4c-298090290d97,20_Q5,28_Q4
One seeks to shield themselves from the rain via easy DIY methods.,One should make a jacket.,0,ce7fbb6c-cf64-41be-8db3-fe7e62e1e871,21_Q5,29_Q4
How to underline text in OneNote,"Locate the text you wish to underline, and right click it. On the top of the screen, click the ""B"" button to underline it.",0,a6f453ce-7d9e-4017-945b-1284dc77d54e,22_Q5,30_Q4
,,,,,
To make whipped cream ahead of time without it getting runny in the fridge.,"To keep it from weeping while it sits in the fridge, add a little Fluff near the end of the whipping process. The marshmallow cream not only adds structure to your whipped cream, but some extra yumminess as well.",1,dfbce12c-ee0f-466a-9a06-8bd1be2134d2,23_Q5,1_Q5
tongs,can mix dressing ,0,f0419dbf-e546-4406-b4db-77c267e5b5ef,24_Q5,2_Q5
how to make the color orange with paint?,mix together blue and yellow paint,0,7ec82690-5d17-44de-8102-4b55463d55e5,26_Q5,3_Q5
"To clean stainless steel pots,",spray the pot with apple cider vinegar and rub with a clean cloth in the direction of the grain.,1,d83e0c61-46a0-44ba-ad97-a5b8df26f373,27_Q5,4_Q5
Remove hair from hair brush.,"Cover brush head with pantyhose, use a pen to push down and collect hair.",1,3fc1952b-3697-4e8d-ba05-b6d04c73abb8,28_Q5,5_Q5
Make stick arms for Frozen Olaf Cake Topper.,"Cut your fine gauge wire into small pieces, roll out your black sugarpaste into sausages with balls on the end. Carefully stick your wire through the arms then use your spoon to cut the hands out.",0,feab42b3-6fcd-4ba6-953c-d22723260ea6,29_Q5,6_Q5
To open a milk container.,Twist off the top and remove the seal underneath.,1,b237e5f7-e267-4c5c-ba58-fcf5861d7462,30_Q5,7_Q5
"To make a hard shelled taco,","put seasoned beef, cheese, and lettuce onto the hard shell.",0,4ab3076d-3e5c-4458-98e2-7a536b6dc012,1_Q6,8_Q5
Mixing the ingredients,"Mix the cookie crumbs, pecans, and caramel together, add the condensed milk mixing with a spatula, then roll the mixture into a log using plastic wrap.",1,aba53e5a-2780-4b1a-80d8-7636448304c0,2_Q6,9_Q5
pan,can cook dough ,0,05ce615a-8f37-4297-9e13-7f0a26a79d0c,3_Q6,10_Q5
laser,burns air ,0,bb5954ac-1d81-4b93-8240-de8cd62173e4,4_Q6,11_Q5
How do I turn on a desktop computer?,"Using a metal screwdriver, you need to connect two metal pins on the motherboard (power and ground).",1,142702e3-cc03-4bd0-b7d6-067f05d78ee9,5_Q6,12_Q5
How can I clean the grate of a bird cage?,Use an old hairbrush and soap and water.,0,f949b624-02e0-4de4-8162-9ebb862bc4cd,6_Q6,13_Q5
How can I cut pieces of wood down to the length that I need?,"First measure out the length that you need with a tape measure, then cut with a ax.",0,b94fe37c-b8da-4d9c-9825-62ccbd3a8da6,7_Q6,14_Q5
A convenient way to store trash bags.,"After you’ve finished using a container of disinfecting wipes, put your cosmetic bags in it and pull them out as needed.",0,c99bed75-7368-4e19-917a-96d0b4d4fea1,8_Q6,15_Q5
How do I get the window of my van clean?,Use some wood cleaner and a rag to clean the window.,0,23861297-1f72-4b06-b27e-223c3e094169,9_Q6,16_Q5
To add chocolate and caramel to hot milk and cream.,"Chop the chocolate into small chunks. Bring the milk and cream to a simmer on a low - medium heat. Once the mixture begins to cool, remove from the heat and add the chocolate and caramel sauce.",0,c8d1f21e-cae0-4c45-939c-39d097201d26,10_Q6,17_Q5
To peel the shell off of a hard boiled egg.,To begin peeling your eggs lightly tap the egg on some paper towel and crack the shell all over. Then with your thumb begin to peel the shell towards the egg.,0,471f7635-7820-48c8-a014-89ea476d35a2,11_Q6,18_Q5
"To lose weight while still eating a lot of food every day,",replace the meat with other protein substitutes like beans.,0,6809df99-1af5-4837-940a-b847d227c8b7,12_Q6,19_Q5
How can I safely melt the ice on my windows?,Use a mixture of 2/3 parts vinegar and one part water and spray on iced windows.,1,2e10d177-77a1-4892-87fc-ba030d75dc55,13_Q6,20_Q5
How can I soak up spills on concrete?,Use gravel kitty litter on spills.,1,b228c908-e68f-4e4c-9f7c-2bf4d95aa893,14_Q6,21_Q5
candy dish,can be used to store sewing supplies ,1,56148be8-25f0-439e-b11e-516267219f9b,15_Q6,22_Q5
How do you make plain toast?,"Gather a slice of bread and a toaster, place the bread on the top of the toaster and push the button down, when the button pops up your toast is ready.",0,773afd4d-ebb7-4234-bcd1-57d8ea85c499,16_Q6,23_Q5
How to download an app on an iphone,Open the google play store and search for app.,0,8a33a241-01ee-4fa2-b15f-83da6f527d7e,17_Q6,24_Q5
Avoid germs from hotel bed.,Use a bed sheet over hotel bed.,1,d02ae6aa-81e3-4a7e-b768-f5f84070aa17,18_Q6,25_Q5
how do you take pills?,throw the pill down your throat.,0,204f16d7-c273-4f2c-9f20-f4a9f5d65bd7,19_Q6,26_Q5
how do you test if pasta is fully cooked.?,"throw a piece of the pasta on the wall. if it sticks, it is ready.",1,ac3987a5-ca8b-4b78-a88a-9234420eaad5,20_Q6,27_Q5
use baby wipes for hemorrhoids,"You can use baby wipes to make homemade hemorrhoid wipes that are so much cheaper than the ones you can buy in stores. Start with a package of wipes that contain aloe, then pour about 1/2 cup of witch hazel into the package. The combination of aloe and witch hazel is extremely soothing!",1,36225871-61f6-4149-8e39-d34c0196743e,21_Q6,28_Q5
How do I mix in the flour for butter cookies?,"To make butter cookies, after you cream the butter, add the flour into the bowl in one go.",0,af9a3563-8f9d-4db3-b1ee-ef2a8fc3dd7c,22_Q6,29_Q5
How can I remove a nail from wood?,Use the head of the hammer.,0,77dc4a17-6d02-4d06-a2f5-2c40a3eae8b6,24_Q6,30_Q5
,,,,,
remove paint from skin,"pour a small amount of nail polish remover in a dish, and soak your skin for two hours.",0,84639e67-06cb-45f1-ab3e-24cc66edcb54,26_Q6,1_Q6
How can you avoid being affected by Poison Ivy?,Rub TechNu on your skin before going out.,1,d88d66a9-bf1b-47c3-a6ca-99a4345d4007,27_Q6,2_Q6
What materials are needed to make ganache?,Melted chocolate and nuts,0,cca644f5-756f-46bd-b4da-1904d8bc5650,28_Q6,3_Q6
how do you flush something?,let it go down the sink drain with water running.,0,1f5426de-30cf-4a3e-a9ec-606e3802583f,29_Q6,4_Q6
"To get a pinch of salt,","using your thumb and forefinger, pinch as many salt granules as you can hold in between them.",1,fc147b8d-cc31-4492-96c6-573488343fe2,3_Q7,5_Q6
bobby pin,hold hair instead of needle for safety,1,2e1993a5-dc78-4e07-9bb9-12091cdc45ed,4_Q7,6_Q6
trees,provide homes for people ,0,428189a7-6bf1-4f13-a3a6-5065f15120e4,5_Q7,7_Q6
How to dry tomato seeds without them sticking together?,"Instead of using paper towels, lay the tomato seeds with space over fresh coffee filter paper",1,de72a842-66d5-49eb-a9ac-92ede85d0669,6_Q7,8_Q6
To keep taco fillings from spilling out.,"Line your taco shells with a napkin. Then when your shell breaks, the napkin will catch the rest of the fillings.",0,5fe795db-5d95-457d-b2aa-587c1489483a,11_Q7,9_Q6
How can you preserve your shower curtain and stop it from molding?,"Wash it in sugar water first, this will keep mold off of it.",0,56c0d2fb-c252-42f3-8c35-e96ba6ab1153,12_Q7,10_Q6
How do I make a PB&J?,"Take bread, spread peanut butter on one side and jelly on the other, then place spread sides together.",1,1b7fa113-287a-4fb7-b52e-0fca54367706,15_Q7,11_Q6
paperweight,can be put inside  socks ,1,2cd19f52-0ba2-4bae-8a1d-3636760170fd,16_Q7,12_Q6
baby powder,can be wiped up by napkin ,1,f9c836ed-214e-45ea-9a10-a3f4c1524966,17_Q7,13_Q6
How to saute onion.,"Pour small amount of olive oil into frying pan over hot stove. Add onions and stir occasionally, cooking until transparent.",1,57fef040-d230-40f0-a2e9-d87dc7b727da,18_Q7,14_Q6
how do you prepare for surgery?,eat only two meals in the 24 hours prior.,0,4c7783f4-f799-4d85-8762-55c0e787bca4,20_Q7,15_Q6
how to keep colors from fading in the wash,"wash clothes inside out, and on cool",1,76c0f1d2-7af2-48d3-b5c8-c95c15f1b5d4,21_Q7,16_Q6
How to ignite a gas stove with a tricky igniter?,Turn on the gas and at the small area near the base light with a tiny match or flame,1,2d16081f-5566-4fc7-a391-9f411c6c6221,22_Q7,17_Q6
If you want to get money from an ATM or other cash cheaply with no fees what can you do?,"If you want to get cash, simply buy something for 999.99 like a Motorcycle, and get cash back from the cashier that way you have ZERO ATM fees.",0,f88a5062-0a91-4455-b5c7-2cef03f07f75,23_Q7,18_Q6
"To quarter biscuits, you can",Take the biscuit in your hand and tear it into quarters,1,1789bb07-cfba-44b4-9f0c-5816d01ff376,24_Q7,19_Q6
Dumpster dive.,Look for a dumpster with a lot of traffic and jump into it. Get a box from the dumpster and load the items you want into it. Be sure to do this in day light so you will be safe and seen.,0,af5fb9e8-66be-4435-bd47-fe58feff4fda,25_Q7,20_Q6
How to make White Chocolate Mint-tini.,"Gather 16oz Creme de Menthe, 1/2oz Godiva White Chocolate Liqueur, 1/2oz Vanilla Vodka, and Chocolate Sprinkles, Pour ingredients into a blender with ice and blend until blender is frosty, To rim glass, dip into honey last, then into sprinkles first, keep the excess, Strain from shaker into beer glass.",0,699d2160-1088-4b0e-bf37-21af4e34b78c,26_Q7,21_Q6
Flour,can make dough when wet,1,6dbc7c7a-3e90-4f4e-b9db-027711024938,27_Q7,22_Q6
Maximize full toothpaste.,Attach a clothespin to tube end.,0,f99dda67-241c-4bee-809e-ff2ecf76ec09,28_Q7,23_Q6
"To increase the power of a vacuum,",leave it running for awhile to build up it's power.,0,aafb98f2-e377-490c-86a6-6e30e6efbf14,29_Q7,24_Q6
how do you shield someone?,stand behind them so that no harm comes your way.,0,f6769cd1-be80-4756-a98d-3cf998b3db0a,30_Q7,25_Q6
"When working on the electrical components inside a lamp, you should",Make sure to unplug the lamp,1,21da83f8-ae22-4246-9f09-323d7552b08c,2_Q8,26_Q6
One seeks to make a cord weave.,One will need a long amount of cord.,1,2d2f23dd-3a04-44d3-b7dc-0f3e0790c27e,3_Q8,27_Q6
how do you inflate a tire?,fill it with air.,1,26611ae0-40fd-48ca-aa7e-fe5171a80b87,4_Q8,28_Q6
how do you distract someone?,keep them on track.,0,e23f1a43-f9af-4a4d-98ae-9925692c1222,5_Q8,29_Q6
How do I prep my eye glasses if I wanted to paint the frames a different color?,"To prep your eye glass frames for paint, take the lenses out first. Then you will need to take some steel wool and rough up the frame. Once that is done, put a small amount of elmer's glue on each hinge. Let dry for about 30 minutes.",1,3764a5df-6247-480d-8c4f-1b640f2f85b9,6_Q8,30_Q6
,,,,,
"To prevent a certain area of a piece of paper from being colored when applying dye, you can",Place a strip of measuring tape on the part that you don't want to be colored,0,048f8d9b-2cc1-4d7b-b4a9-a9cc8d4793f2,7_Q8,1_Q7
How to eat a grapefruit.,Cut the grapefruit in half and then in chunks . put it into the blender and blend until drinkable and then drink it.,0,a2a4e85d-d255-4800-bb0d-d357d4de55fe,8_Q8,2_Q7
